timestamp_ms,x,y,radius
1780507720450,245,165,51
1780507720626,88,145,59
1780507720751,244,163,38
1780507720869,158,130,38
1780507720981,163,113,36
1780507721181,163,110,36
1780507721382,155,113,42
1780507721484,165,115,33
1780507721682,153,133,40
1780507721881,163,116,35
1780507722084,161,130,35
1780507722286,165,119,36
1780507722391,165,116,35
1780507722583,79,129,42
1780507722708,169,113,33
1780507722822,79,129,42
1780507723004,161,117,40
1780507723109,159,113,42
1780507723214,169,116,34
1780507723405,166,119,36
1780507723521,164,113,27
